Year,Rainfed_RCP26,Rainfed_RCP45,Rainfed_RCP85,Irrigated_RCP26,Irrigated_RCP45,Irrigated_RCP85
2025,5.315987477,5.140118535,5.374650046,7.638556665,7.381952854,7.533575393
2026,5.722082984,5.542978437,5.435998729,7.559393488,7.418627497,7.291307311
2027,5.597109173,5.366430475,5.253385384,7.608739114,7.355298163,7.44588593
2028,5.446712778,5.281966262,5.311276139,7.330696664,7.371914002,7.38931179
2029,5.549104643,5.623589994,5.063687128,7.442276588,7.585113863,7.380841745
2030,5.824335512,5.148351591,4.956264246,7.699759015,7.445735482,7.318643952
2031,4.81308699,5.307603131,5.081865805,7.221774915,7.530343336,7.383272746
2032,5.509414668,5.169565903,4.86039218,7.563818433,7.432256006,7.41774233
2033,5.075762001,5.072385003,5.45912715,7.490217238,7.360594303,7.405814345
2034,5.300831812,5.17621109,4.900868653,7.391469151,7.476422736,7.134385081
2035,5.472689867,5.473388507,5.242701727,7.485971564,7.389962668,7.364732822
2036,5.178504702,5.72219573,5.232470801,7.522082358,7.475679984,7.207822977
2037,5.398469632,5.680303441,4.537329243,7.537623781,7.395976243,7.276445744
2038,5.458806929,5.199001469,5.026259302,7.64657332,7.278638087,7.1729356
2039,5.779291049,5.279103615,5.416780026,7.647562948,7.421546564,7.31828402
2040,5.306206744,5.335205258,4.868839782,7.519804316,7.415968284,7.240497948
2041,5.41984935,5.089015516,5.10982185,7.495159924,7.301007209,7.237968868
2042,5.235857311,5.057262973,4.586525597,7.56260816,7.388098318,7.072008603
2043,5.439767273,5.281548589,5.173659101,7.699158077,7.25351222,7.134282904
2044,5.441576053,5.595920999,4.827069532,7.412302233,7.400361268,7.04850164
2045,5.257837705,5.192466672,4.975892572,7.483296263,7.227456769,7.270691992
2046,5.329763297,4.955462022,5.164001814,7.543280464,7.474310681,7.077091088
2047,5.246927903,5.263253853,4.858589642,7.437699198,7.428601441,6.99692196
2048,5.016375163,5.029588177,5.126398768,7.505330852,7.32906164,7.205737631
2049,4.88197542,5.06522133,4.620898704,7.424944895,7.402101035,6.911006253
2050,5.406239641,4.965263042,4.978502032,7.569349444,7.35769424,7.102059513
2051,5.587206986,5.101028001,4.986255507,7.440815073,7.265831499,6.905627722
2052,5.432865449,5.128819803,4.866591804,7.623735912,7.358278724,6.922731994
2053,5.588233314,5.274121441,4.667434459,7.320806675,7.226869437,6.621776853
2054,4.971023706,4.94783469,4.57521339,7.348389898,7.248684568,6.919655068
2055,5.492552548,4.88826243,4.946043835,7.605893962,7.211691412,6.843860629
2056,5.691964867,5.093531951,4.267187773,7.423079929,7.27771381,6.654861837
2057,5.248062221,5.014337352,4.435173638,7.583793538,7.278706339,6.717697538
2058,5.749582975,4.861223213,4.594525659,7.603250147,7.226992089,6.874354367
2059,5.304560585,5.145439706,4.699557343,7.40378097,7.064875401,6.614491521
2060,5.282456331,5.047958067,4.667737372,7.393824214,7.253448527,6.629143553
2061,5.588172239,4.733666747,4.494746967,7.373110288,7.02461626,6.408099801
2062,5.266639046,4.909122899,4.365992321,7.514464746,7.085630229,6.623018991
2063,5.673990169,4.6019857,4.437019631,7.568224046,6.889099072,6.589374963
2064,5.673031287,4.834547982,4.4201693,7.662190016,7.168613747,6.423967736
2065,5.621822375,5.40414722,4.100840272,7.783268742,7.133899387,6.327412689
2066,5.190309376,5.075153931,4.348230125,7.673750696,7.073372945,6.414488648
2067,5.264983555,5.292719704,4.535150829,7.485800511,7.0563482,6.409055934
2068,5.251571842,5.224288334,4.08042155,7.47014696,7.19643115,6.193420191
2069,5.224302257,5.046967657,3.823238006,7.51344788,6.967894518,6.083477596
2070,4.994809374,4.927070805,4.403648033,7.513245084,7.045410451,6.119919442
2071,5.107013861,5.013348138,4.527075842,7.323464809,7.092207458,6.304204227
2072,5.291156616,4.95897343,3.588045197,7.569157859,6.990304549,6.111073546
2073,5.217662124,4.826284624,4.065992663,7.353000991,6.994135142,6.213978155
2074,5.088419505,4.744916266,3.892786067,7.534020839,7.022277775,5.868130998
2075,5.205407521,4.873589866,3.929903504,7.377581302,7.014719982,5.83367128
2076,5.640689457,4.818184733,4.351983136,7.626535236,7.009439539,6.170138509
2077,5.360755874,4.651723676,4.533435931,7.494750322,6.954413404,6.167054038
2078,5.201880869,4.918403653,3.82262011,7.582814005,6.988643443,5.9388927
2079,5.103069035,4.942259383,4.208095285,7.503712762,7.060350123,6.057326336
2080,5.427715496,5.036090922,3.37475784,7.46247886,7.045288923,5.736398286
2081,5.388773282,4.853179941,3.689850831,7.481284887,6.924758179,5.807077799
2082,5.356540797,4.877576638,3.620556615,7.627329059,7.050402537,5.731531447
2083,5.229241771,4.747714555,3.732065571,7.540576354,6.945506997,5.942198614
2084,5.87384114,4.592553612,3.772781407,7.664660142,6.984246635,5.770018215
