Year,Rainfed_SSP126,Rainfed_SSP245,Rainfed_SSP585,Irrigated_SSP126,Irrigated_SSP245,Irrigated_SSP585
2025,5.683245444,5.81426924,5.700408986,7.599625191,7.548519158,7.485261725
2026,5.649837319,5.47493387,5.742329105,7.567263903,7.43698538,7.507699722
2027,5.778758518,5.460988417,5.581120937,7.602905036,7.492102151,7.466631592
2028,5.699664661,5.505692969,5.625863267,7.441409446,7.475363569,7.493733839
2029,5.736867414,5.57926936,5.331375199,7.456119162,7.437628599,7.352811804
2030,5.966113177,5.686222657,5.662436859,7.504084238,7.466967385,7.435651105
2031,5.708340631,5.518391822,5.655979513,7.548525291,7.47472491,7.39061611
2032,5.639811051,5.572925448,5.429616425,7.451323774,7.452980775,7.349412926
2033,5.632219725,5.257100678,5.393675896,7.60530962,7.359205104,7.367920769
2034,5.663808895,5.737777322,5.536485682,7.580660994,7.391238292,7.326139387
2035,5.623048841,5.495818527,5.648985833,7.543905807,7.339328111,7.332230288
2036,5.739746847,5.598039329,5.242673488,7.488228239,7.282751086,7.324142654
2037,5.350370777,5.521189216,5.60958809,7.325997817,7.265541816,7.383565009
2038,5.750305241,5.437205888,5.301886432,7.484731472,7.381826696,7.191138981
2039,5.60798755,5.565756192,5.258089263,7.559020133,7.29192739,7.255839341
2040,5.861444018,5.644225372,5.494698698,7.48130683,7.271761318,7.180780495
2041,5.586108675,5.451866495,5.134348036,7.457257279,7.407536854,7.1377197
2042,5.751706015,5.425173327,5.135407989,7.487094897,7.165282724,7.260716954
2043,5.751122413,5.604919759,5.295599566,7.515137971,7.350059115,7.139565521
2044,5.778965362,5.136294094,5.278977755,7.480953209,7.064720676,7.235222242
2045,5.451408864,5.356734904,5.289122568,7.498447414,7.172324747,7.120484357
2046,5.366336737,5.379701261,5.056253439,7.438673602,7.206069194,6.958291857
2047,5.478310396,5.2664509,5.175938428,7.489298755,7.147507542,6.915700243
2048,5.760519425,5.285107801,5.17515936,7.430422412,7.038431873,6.867811182
2049,5.805400407,5.29814395,5.09421716,7.398698792,7.160383906,6.831199118
2050,5.605601331,5.551257894,5.197761156,7.359005063,7.212850447,6.919391952
2051,5.45234614,5.306234272,4.871438406,7.375390697,7.187608208,6.856902699
2052,5.598608034,5.369847288,4.910321056,7.499760321,7.143477568,6.781590102
2053,5.567332969,5.204725688,4.981841342,7.389834429,7.15355234,6.734363085
2054,5.435961107,5.348008618,5.008931083,7.367707649,7.102928956,6.802658424
2055,5.512989444,5.27509266,4.966449433,7.497918569,6.977043527,6.68745452
2056,5.355022964,5.210052077,4.914474816,7.300273325,7.154889977,6.708669343
2057,5.285807722,5.277202935,4.889358154,7.418217153,7.042939288,6.562131516
2058,5.475332525,5.312297172,4.745585899,7.34375192,7.038711517,6.591359942
2059,5.553529669,5.15280502,5.047113439,7.275230854,6.980822809,6.640257846
2060,5.445399883,5.278298077,5.001942722,7.326227557,7.045592618,6.540707133
2061,5.315809298,5.241210788,4.617488882,7.319697914,7.011250375,6.536339461
2062,5.485545981,5.189680802,4.799305938,7.367699574,6.993425278,6.460630219
2063,5.598632056,5.302212253,4.794224076,7.473839921,6.978382658,6.550227367
2064,5.501476787,5.160246488,4.568130962,7.368820939,6.983025406,6.398709693
2065,5.803887305,5.133350512,4.592858333,7.440667421,6.989046374,6.388096856
2066,5.208918178,5.054524148,4.389713839,7.375342519,6.946993523,6.30919138
2067,5.772105493,4.948182296,4.556926217,7.323858564,6.706940928,6.147078788
2068,5.437206227,4.904306275,4.511197436,7.456683704,6.749308791,6.198904738
2069,5.676664771,5.275752493,4.473603041,7.41578292,6.903280539,6.154153052
2070,5.476047363,4.980384732,4.168649046,7.384853906,6.850497911,6.086818785
2071,5.712354855,4.669144875,4.10405163,7.386381975,6.691574356,6.050713516
2072,5.460666795,4.950505944,4.426763788,7.375890885,6.845333103,6.100241175
2073,5.670774087,4.682428637,4.579830438,7.406094173,6.762753682,6.112183609
2074,5.585234517,5.007001842,4.321418361,7.458178064,6.854148813,6.032361908
2075,5.733210161,5.190051267,4.193757307,7.393129354,6.957689711,5.804364981
2076,5.688584024,4.812821668,4.211867585,7.452917113,6.67863299,5.915564898
2077,5.653155303,4.915251069,4.109862157,7.385708955,6.864841214,5.92948369
2078,5.605527617,4.994956174,4.184420986,7.439893441,6.884620159,5.868845683
2079,5.594180991,4.948827433,4.145377851,7.368695948,6.858212553,5.749638021
2080,5.728042319,4.84288557,4.043761013,7.395379452,6.650861442,5.662271668
2081,5.59258065,5.060083396,4.284434518,7.334646713,6.761551339,5.884227035
2082,5.684569933,4.970915634,4.059826239,7.494027295,6.757864372,5.70178497
2083,5.762552771,5.087788282,3.8282824,7.455213649,6.836051755,5.646021675
2084,5.527705094,4.67127741,3.899357959,7.333364444,6.620541242,5.543066719
