Year,tasmin_RCP26_mean,tasmin_RCP26_std,tasmax_RCP26_mean,tasmax_RCP26_std,rsds_RCP26_mean,rsds_RCP26_std,hurs_RCP26_mean,hurs_RCP26_std,pr_RCP26_mean,pr_RCP26_std,sfcWind_RCP26_mean,sfcWind_RCP26_std,tasmin_RCP45_mean,tasmin_RCP45_std,tasmax_RCP45_mean,tasmax_RCP45_std,rsds_RCP45_mean,rsds_RCP45_std,hurs_RCP45_mean,hurs_RCP45_std,pr_RCP45_mean,pr_RCP45_std,sfcWind_RCP45_mean,sfcWind_RCP45_std,tasmin_RCP85_mean,tasmin_RCP85_std,tasmax_RCP85_mean,tasmax_RCP85_std,rsds_RCP85_mean,rsds_RCP85_std,hurs_RCP85_mean,hurs_RCP85_std,pr_RCP85_mean,pr_RCP85_std,sfcWind_RCP85_mean,sfcWind_RCP85_std
2025,1.532690983,0.391665413,1.59598733,0.316838982,1.232930322,1.820059661,-0.806597624,0.855392843,-0.053751557,0.175677743,-0.033759578,0.047567212,1.117699177,0.49865459,1.172515126,0.700746699,0.486917738,3.942334791,-0.806614014,1.734732633,-0.013305474,0.223333456,0.045866543,0.088517403,1.134748731,0.267360839,1.081885909,0.381422815,-1.202665728,2.933188797,-0.320777574,1.630138172,0.011302032,0.233362922,0.041370859,0.114178125
2026,1.21149779,0.418418433,1.089132838,0.42705869,-1.832895225,3.273940402,0.308073337,0.866725509,0.19326158,0.246433655,-0.020858094,0.042886798,1.255770894,0.34314098,1.234665004,0.569006013,-1.25197867,2.769870474,-0.089838375,1.628857692,0.101255014,0.089029337,0.023040078,0.092921156,1.243086798,0.326256859,1.195886297,0.375381348,-1.268891187,1.595695806,-0.273022789,1.702963919,0.024010948,0.153698152,0.029881856,0.10444646
2027,1.37032032,0.122691301,1.341941412,0.26059284,-0.61494658,4.618080887,0.054518567,1.960685546,-0.004317458,0.21351501,-0.061524524,0.046584112,1.097768429,0.231595941,1.174682471,0.484825866,-0.097849229,3.217768778,-0.771966928,1.68391512,0.104399536,0.138536356,0.052313182,0.101098278,1.32838816,0.397331817,1.342004488,0.361295933,-0.825208096,3.755748513,-0.320686907,0.898966981,0.029810026,0.129593974,0.046928023,0.070707617
2028,1.259438956,0.125764483,1.134686354,0.204841213,-1.18386594,2.82907851,0.236887515,1.171870736,0.160527528,0.135862448,0.007428802,0.036501252,1.353717591,0.255739441,1.303423943,0.43601199,0.078989304,3.94630508,-0.449219234,1.803631908,0.02859476,0.20910841,0.054268559,0.093472641,1.482019726,0.282422589,1.401056278,0.41950574,-1.928416412,1.371869378,-0.4893623,0.891265681,0.124917907,0.111143372,0.046683184,0.053946663
2029,1.42646878,0.354070349,1.402562998,0.415760236,0.604329879,1.378548521,-0.620762177,0.841045267,0.024345316,0.087883052,-0.037835183,0.041250064,1.32095775,0.323117879,1.359364953,0.413492414,1.118246713,1.204577355,-0.852338143,0.774988682,-0.016082888,0.101947539,0.048653463,0.065541799,1.398652096,0.311316793,1.34577873,0.352428217,-0.294491259,2.361337356,-0.653439051,0.970738527,0.002762607,0.065490384,0.024594636,0.076258916
2030,1.50575669,0.155822303,1.337660416,0.272064155,0.446470014,2.096722718,0.697323663,1.370574336,0.036616028,0.129198058,-0.017111155,0.022933842,1.268698897,0.342893899,1.217791287,0.398400043,-0.341624961,1.338907924,-0.464967425,1.373988922,0.033486626,0.229757074,0.085743392,0.099377389,1.436853064,0.272874943,1.398224103,0.512478672,-0.659048559,3.172100176,-0.753766668,1.582253369,0.000431197,0.171045143,0.031409411,0.048401402
2031,1.464493946,0.271945672,1.516907971,0.360587263,1.368152901,3.168228414,-0.790859667,1.710984273,0.016956952,0.231251399,-0.010398039,0.05351142,1.254121302,0.186150251,1.310208324,0.327940028,1.378502259,1.540942365,-0.883429213,1.167101671,0.013495901,0.033166595,0.043971947,0.115403923,1.449271452,0.205605838,1.571391345,0.322795495,0.840583166,1.297160529,-1.60178544,1.299936108,-0.033837293,0.210551643,0.054879706,0.093742844
2032,1.658958203,0.530049358,1.747723676,0.452442791,3.030731465,2.861647886,-1.166444278,1.753687069,-0.002064892,0.285749249,-0.018416938,0.033460491,1.267250446,0.216308999,1.420601202,0.352882167,2.542333436,2.822613861,-1.260676169,0.856906899,-0.009481555,0.0591121,0.069513755,0.110297017,1.53031751,0.542701927,1.655553958,0.717222143,1.432646844,3.305607939,-1.405607648,1.582488528,-0.047366875,0.182270964,0.048040438,0.077736651
2033,1.425325947,0.342117606,1.577659683,0.443108467,3.454551437,1.667305084,-1.204971933,1.49070274,0.016957545,0.134431612,0.017985127,0.040507989,1.435329096,0.416641581,1.613980414,0.392966117,2.838944946,1.776437993,-2.253335069,0.859171217,0.025556027,0.109170838,0.108638133,0.090193188,1.683522919,0.33741878,1.65476975,0.566099002,0.857318393,3.587374409,-0.778768088,1.524506116,0.035695837,0.103292474,0.034519848,0.072923416
2034,1.601500572,0.416658705,1.683926779,0.453663621,3.332465808,1.565438395,-1.094681729,0.949823895,0.007721978,0.108341438,0.016987339,0.035689417,1.716828842,0.390742682,1.943618906,0.554345647,3.650482411,2.194338147,-2.225917458,1.181879109,-0.073123524,0.129459067,0.073532475,0.104836381,1.683739064,0.276435417,1.582480363,0.501378457,-1.323218459,3.271675485,-0.463127473,1.581249762,0.090975499,0.186276482,0.033264268,0.075919646
