Year,tasmin_SSP126_mean,tasmin_SSP126_std,tasmax_SSP126_mean,tasmax_SSP126_std,rsds_SSP126_mean,rsds_SSP126_std,hurs_SSP126_mean,hurs_SSP126_std,pr_SSP126_mean,pr_SSP126_std,sfcWind_SSP126_mean,sfcWind_SSP126_std,tasmin_SSP245_mean,tasmin_SSP245_std,tasmax_SSP245_mean,tasmax_SSP245_std,rsds_SSP245_mean,rsds_SSP245_std,hurs_SSP245_mean,hurs_SSP245_std,pr_SSP245_mean,pr_SSP245_std,sfcWind_SSP245_mean,sfcWind_SSP245_std,tasmin_SSP585_mean,tasmin_SSP585_std,tasmax_SSP585_mean,tasmax_SSP585_std,rsds_SSP585_mean,rsds_SSP585_std,hurs_SSP585_mean,hurs_SSP585_std,pr_SSP585_mean,pr_SSP585_std,sfcWind_SSP585_mean,sfcWind_SSP585_std
2025,1.221850151,0.280455301,1.308993182,0.526008244,2.611326766,3.835004964,-1.208453847,1.862549758,-0.004554618,0.208902296,-0.014401283,0.031845647,1.258745896,0.287722016,1.246483411,0.396446062,-0.818069792,1.924234392,-0.162699139,0.453046598,0.081683327,0.061597362,-0.024011533,0.026137624,1.352748384,0.371953951,1.445065262,0.497971469,1.480340608,1.856586639,-0.88277322,0.705999814,0.052570487,0.111481204,0.015022402,0.039532139
2026,1.307758028,0.312490674,1.321593972,0.39282852,1.59749045,3.227738173,-0.396836292,0.603781072,0.033343668,0.065459043,0.007484826,0.089918213,1.304595251,0.480397892,1.254538814,0.479485044,-1.058475006,1.197792269,-0.728712859,0.449958909,0.142648932,0.158845622,0.028056126,0.057829329,1.180849849,0.492260311,1.122021288,0.620198707,0.241753752,3.212854511,-0.294421997,0.926595436,0.134890958,0.145418606,0.029061203,0.053097836
2027,1.348618632,0.337610395,1.276678676,0.417990036,1.087017274,2.417489903,-0.126476309,0.466392517,0.153484825,0.090625748,-0.034073992,0.017806284,1.334037107,0.450238814,1.335680228,0.588861172,-0.219027816,1.826599896,-0.741034155,0.486123461,0.031586397,0.067487115,-0.014642401,0.021229583,1.24992825,0.44311148,1.17620703,0.488152936,0.866523798,2.018642515,-0.504564457,0.765585692,0.132631735,0.1099311,0.003130782,0.024394389
2028,1.279264427,0.358746437,1.155593362,0.405248393,1.230228957,2.527695135,0.165011615,0.843296295,0.209402647,0.150020924,0.00294375,0.063415539,1.48836887,0.602313944,1.475445322,0.607859972,0.188426319,0.749088622,-0.490375519,0.559452007,0.0631369,0.169849463,-0.01852139,0.017259736,1.436818494,0.393929491,1.45174206,0.463175602,1.534027713,2.181526445,-0.943062079,1.091619142,0.023786919,0.219436555,0.002700286,0.046080551
2029,1.343651901,0.329469154,1.267062385,0.371049189,1.839727772,2.054752655,0.06357071,0.805670796,0.152096275,0.021190638,-0.03550669,0.023176207,1.360197432,0.393990711,1.363006126,0.439247414,0.608286081,1.811495086,-0.441498086,0.549765363,0.100262708,0.126259459,-0.011445048,0.029599492,1.577780339,0.49383525,1.619247957,0.631042883,1.681982671,2.937451916,-0.660116942,0.753142666,0.094172663,0.095523071,-0.01117953,0.024170522
2030,1.560452717,0.470951331,1.4636309,0.503993282,1.971502399,2.550371202,-0.107537877,1.013998556,0.261938858,0.167541037,-0.033677293,0.033959872,1.425532793,0.482597966,1.37548148,0.577436381,-0.26492508,2.51451792,-0.184661399,0.599485239,0.115494606,0.071483635,-0.014148111,0.026913666,1.697400967,0.45004266,1.869327506,0.532180972,3.609082539,2.50470884,-1.651886723,0.501411882,-0.018567952,0.11660075,0.005282114,0.02122645
2031,1.276081076,0.396174221,1.22430367,0.46562119,2.629833225,2.991395798,-0.516491464,0.785402058,0.179769644,0.07638455,-0.016762457,0.039268555,1.434502421,0.53598652,1.423627815,0.511303864,0.634981994,2.292832261,-0.865813663,0.95766995,0.103963231,0.147319954,-0.007301286,0.022725297,1.550014801,0.326272547,1.514129699,0.357952549,0.95822732,1.444801142,-0.289308039,1.039594089,0.148174999,0.104107781,-0.004615338,0.019925926
2032,1.420484429,0.489064389,1.359699139,0.49333461,2.946075616,2.690908535,-0.536818665,0.455806853,0.157393661,0.096679022,-0.04505293,0.02873699,1.528672968,0.390163228,1.610712243,0.450120802,1.336155914,2.188286823,-1.033777982,0.520385997,0.044344651,0.127317838,-0.009601757,0.040417306,1.70441844,0.38763827,1.730436188,0.439137459,2.368945084,1.265056089,-1.030101121,0.851549669,0.059890841,0.111993347,-0.009480668,0.027442893
2033,1.362882106,0.431194848,1.407573531,0.587376367,4.367765863,3.46301752,-0.916684591,1.274648388,0.096955174,0.173139419,-0.020419454,0.051157682,1.545023618,0.452441433,1.561033171,0.420017701,0.979050849,1.805063233,-1.048735683,0.421562756,-0.006383418,0.172906944,0.001378991,0.025922371,1.654942683,0.656652499,1.585131975,0.877987086,1.124062216,3.116296269,-0.806299008,1.024336473,0.12422051,0.096460694,-0.019168329,0.028797834
2034,1.625376569,0.475919863,1.701398066,0.499540132,5.391107059,3.450674896,-1.035148926,0.938221202,0.101009493,0.226709781,-0.021999696,0.073494063,1.636035492,0.381161197,1.540289494,0.425490512,-0.385122502,1.510547596,-0.254396906,0.54694292,0.149686199,0.092632752,-0.010467638,0.029135278,1.697827797,0.519491031,1.659397429,0.62823614,1.513270149,2.271763601,-1.081905387,0.567131804,0.105084989,0.159495211,-0.020997206,0.050271917
