Generation,Climate_Model,Scenario,Mean_Yield_Change,Standard_Deviation,P_Value
CMIP5,CNRM-CM5,RCP26,-3.161395693,4.112361485,1.86E-07
CMIP5,HadGEM2-ES,RCP26,-4.895373962,3.381921392,4.17E-16
CMIP5,IPSL-CM5A-LR,RCP26,1.990157426,1.594991409,1.23E-13
CMIP5,MIROC-ESM,RCP26,-5.333652035,3.637937951,2.49E-16
CMIP5,MPI-ESM-LR,RCP26,-6.853440731,1.995681381,2.38E-34
CMIP5,CNRM-CM5,RCP45,-6.253862085,3.982627337,1.45E-17
CMIP5,HadGEM2-ES,RCP45,-8.371869766,4.2641931,6.63E-22
CMIP5,IPSL-CM5A-LR,RCP45,-2.780861395,2.795805269,2.23E-10
CMIP5,MIROC-ESM,RCP45,-9.180700537,5.301246877,2.07E-19
CMIP5,MPI-ESM-LR,RCP45,-10.31770336,2.623310718,1.37E-37
CMIP5,CNRM-CM5,RCP85,-10.41402743,5.350475114,9.96E-22
CMIP5,HadGEM2-ES,RCP85,-16.78497142,9.352278594,4.18E-20
CMIP5,IPSL-CM5A-LR,RCP85,-10.02725656,7.686864383,2.39E-14
CMIP5,MIROC-ESM,RCP85,-16.08304387,9.885658818,3.20E-18
CMIP5,MPI-ESM-LR,RCP85,-15.80227307,6.159329224,1.23E-27
CMIP6,CNRM-CM6-1,SSP126,-4.142303036,2.930969251,1.08E-15
CMIP6,IPSL-CM6A-LR,SSP126,-4.574564621,1.38440085,1.92E-33
CMIP6,MIROC6,SSP126,-4.340277825,1.719426976,2.83E-27
CMIP6,MPI-ESM1-2-LR,SSP126,-1.667698137,0.971377255,3.05E-19
CMIP6,UKESM1-0-LL,SSP126,-8.539167536,2.614172533,3.59E-33
CMIP6,CNRM-CM6-1,SSP245,-8.365291779,5.375752748,2.13E-17
CMIP6,IPSL-CM6A-LR,SSP245,-8.752829461,3.722489601,1.03E-25
CMIP6,MIROC6,SSP245,-7.572115663,2.600385832,1.67E-30
CMIP6,MPI-ESM1-2-LR,SSP245,-5.89484144,1.25123297,5.55E-42
CMIP6,UKESM1-0-LL,SSP245,-15.05009319,5.292871541,5.86E-30
CMIP6,CNRM-CM6-1,SSP585,-13.94023405,9.715208169,5.93E-16
CMIP6,IPSL-CM6A-LR,SSP585,-14.32310458,7.994925052,4.53E-20
CMIP6,MIROC6,SSP585,-11.84915049,5.932696094,2.95E-22
CMIP6,MPI-ESM1-2-LR,SSP585,-9.229656899,4.269057682,6.53E-24
CMIP6,UKESM1-0-LL,SSP585,-22.88843682,10.6166605,7.50E-24
