Generation,Climate_Model,Scenario,Mean_Yield_Change,Standard_Deviation,P_Value
CMIP5,CNRM-CM5,RCP26,1.296425832,10.48586639,0.34615765
CMIP5,HadGEM2-ES,RCP26,-2.10041553,9.532183634,0.095818141
CMIP5,IPSL-CM5A-LR,RCP26,4.883340706,4.23292012,1.95e-12
CMIP5,MIROC-ESM,RCP26,-12.71694172,13.18656347,5.52e-10
CMIP5,MPI-ESM-LR,RCP26,-10.04997888,4.390265998,3.92e-25
CMIP5,CNRM-CM5,RCP45,-0.466097943,9.316465641,0.70214974
CMIP5,HadGEM2-ES,RCP45,-8.326676513,10.25047243,5.16e-08
CMIP5,IPSL-CM5A-LR,RCP45,-0.54812299,5.890709182,0.477600096
CMIP5,MIROC-ESM,RCP45,-19.50737686,12.84619961,5.9e-17
CMIP5,MPI-ESM-LR,RCP45,-14.6428476,5.616132704,5.37e-28
CMIP5,CNRM-CM5,RCP85,-7.301996835,9.473324071,1.75e-07
CMIP5,HadGEM2-ES,RCP85,-18.02612587,15.4562139,1.34e-12
CMIP5,IPSL-CM5A-LR,RCP85,-13.14485261,12.04718352,1.24e-11
CMIP5,MIROC-ESM,RCP85,-27.41345566,15.79288572,1.87e-19
CMIP5,MPI-ESM-LR,RCP85,-21.17796262,8.994506769,9.6e-26
CMIP6,CNRM-CM6-1,SSP126,-9.376195177,10.42842248,3.9e-09
CMIP6,IPSL-CM6A-LR,SSP126,7.967091075,2.399808445,1.4900000000000001e-33
CMIP6,MIROC6,SSP126,1.894169046,3.553836912,0.000130768
CMIP6,MPI-ESM1-2-LR,SSP126,8.416980215,2.280730746,4.61e-36
CMIP6,UKESM1-0-LL,SSP126,-6.111010044,5.265449351,1.59e-12
CMIP6,CNRM-CM6-1,SSP245,-14.91977816,12.55907432,7.08e-13
CMIP6,IPSL-CM6A-LR,SSP245,1.251844276,5.206956921,0.069810224
CMIP6,MIROC6,SSP245,-3.287031933,4.797029949,2.07e-06
CMIP6,MPI-ESM1-2-LR,SSP245,2.146182347,3.095976175,1.65e-06
CMIP6,UKESM1-0-LL,SSP245,-13.83501141,7.655140358,3.05e-20
CMIP6,CNRM-CM6-1,SSP585,-19.51190654,16.06986098,3.28e-13
CMIP6,IPSL-CM6A-LR,SSP585,-6.124085974,10.70440357,4.69e-05
CMIP6,MIROC6,SSP585,-9.421085232,8.829141167,2.55e-11
CMIP6,MPI-ESM1-2-LR,SSP585,-1.595440739,4.349553206,0.006574963
CMIP6,UKESM1-0-LL,SSP585,-25.02877694,13.13847834,2.7100000000000004e-21
